asset,correlation,cointegration_p_value,spread_volatility,target_asset
MASKUSDT,0.0003601612569330757,0.006109804957564148,0.1011633861123771,DOTUSDT
EOSUSDT,0.0006241499333781827,0.022660075983939265,0.39600923029278173,DOTUSDT
SANDUSDT,0.0008600732950609218,0.049401785821293516,1.2699918259653873,DOTUSDT
CHRUSDT,0.001806807332955565,0.025390968073346128,0.02711648282418078,DOGEUSDT
CELOUSDT,0.000951440142535496,0.026514133482079417,0.04508296361413889,DOGEUSDT
EOSUSDT,0.0020284893086507864,0.029183157335711432,0.4909188872368259,DOGEUSDT
DASHUSDT,-1.7640326099509396e-05,0.0025440224938397815,0.006518040335162438,ADAUSDT
PERPUSDT,0.0014187207760663894,0.004855875905380514,0.009158707065251848,ADAUSDT
ACHUSDT,0.00024977979010358244,0.004969569179422173,0.00544228570432646,ADAUSDT
CHRUSDT,-0.0009160299781162217,0.009569046064254499,0.019621923481376667,ADAUSDT
TRXUSDT,0.528880455096401,0.012397641665322121,0.009012904625127634,ADAUSDT
CELOUSDT,0.0005852390702498528,0.014405335698547355,0.03610568318042813,ADAUSDT
APTUSDT,-6.427603074875172e-05,0.02063370858409573,0.00994883297063078,ADAUSDT
EOSUSDT,0.0012506524731326807,0.0333905323418856,0.4936395801196355,ADAUSDT
XRPUSDT,0.4588781431334375,0.037235400603612634,0.011635008760328207,ADAUSDT
PERPUSDT,0.001505528885725302,0.0035428215911834145,0.020391424723694707,XRPUSDT
DASHUSDT,0.001548382256662942,0.0040410035018886405,0.018162512385043808,XRPUSDT
APTUSDT,0.0002181047272832539,0.004700890139188053,0.018369356664713097,XRPUSDT
TRXUSDT,0.560908143019944,0.004945244283062251,0.019957603604915893,XRPUSDT
ACHUSDT,0.0012205127753429983,0.007182621678768047,0.016916097768382002,XRPUSDT
ALGOUSDT,0.0014064586013200764,0.00765732119301014,0.019756531107159296,XRPUSDT
ADAUSDT,0.6063607116161921,0.018378421034525565,0.016691888489813653,XRPUSDT
BCHUSDT,0.002645421692519266,0.02630997710060392,0.0140456691604731,XRPUSDT
BANDUSDT,0.0010153488045318339,0.026541505915576614,0.025684841686155573,XRPUSDT
EOSUSDT,0.0018017904394162772,0.03558751918236817,0.49401452143452734,XRPUSDT
CHRUSDT,-0.00037453289791361397,0.00715612450925309,0.025916358960628282,TRXUSDT
XRPUSDT,0.41554592282626807,0.01013280609133713,0.023049348861350648,TRXUSDT
CELOUSDT,0.0007149982801544298,0.020275681976856,0.04547866678934157,TRXUSDT
EOSUSDT,0.0020450659797281957,0.032415862671943615,0.5002075263660427,TRXUSDT
ADAUSDT,0.4588781431334375,0.037235400603612634,0.011635008760328207,TRXUSDT
XRPUSDT,0.560908143019944,0.004945244283062251,0.019957603604915893,XLMUSDT
CHRUSDT,-0.0004951851857980825,0.005287468292113382,0.02417249006201442,XLMUSDT
ADAUSDT,0.528880455096401,0.012397641665322121,0.009012904625127634,XLMUSDT
CELOUSDT,-0.00045363771738278177,0.017422037337169117,0.04334032698709903,XLMUSDT
EOSUSDT,0.001038599513845922,0.032057933284594914,0.49860213655229024,XLMUSDT
SANDUSDT,0.4075323013599897,0.004011856655368509,1.6013990411441517,APTUSDT
EOSUSDT,0.523093489332309,0.004386185385442602,0.6397383594828508,APTUSDT
LTCUSDT,0.5281076745990033,0.01293397218312183,0.6847282259727089,APTUSDT
XRPUSDT,0.00021810472728325388,0.004700890139188053,0.018369356664713097,VIDTUSDT
CHRUSDT,0.13137218337719941,0.02008129383559973,0.026986935255903316,VIDTUSDT
ADAUSDT,-6.427603074875172e-05,0.02063370858409573,0.00994883297063078,VIDTUSDT
CELOUSDT,0.1469625206512735,0.02355840603507815,0.04448124672167272,VIDTUSDT
EOSUSDT,0.15903532199817957,0.033532697446820144,0.5015710459293207,VIDTUSDT
SANDUSDT,-0.00021878336330356,0.02197085944035023,1.1162604587135734,AVAXUSDT
APTUSDT,0.5281076745990033,0.01293397218312183,0.6847282259727089,LINKUSDT
ALGOUSDT,0.5659911765999619,0.00866169191010492,0.009251807436034779,EOSUSDT
ACHUSDT,0.4311992606933196,0.016683943378649993,0.007275374761275519,EOSUSDT
CELOUSDT,0.4574613517602404,0.018463447859096288,0.0337484879431814,EOSUSDT
CHRUSDT,0.42139015381900075,0.02465537273038461,0.019172042254750925,EOSUSDT
XRPUSDT,0.002645421692519266,0.02630997710060392,0.0140456691604731,EOSUSDT
APTUSDT,0.5230934893323089,0.004386185385442602,0.6397383594828508,ETCUSDT
MASKUSDT,0.4610171478104104,0.020170313716062822,0.47112191826113764,ETCUSDT
DOTUSDT,0.0006241499333781826,0.022660075983939265,0.39600923029278173,ETCUSDT
ALPHAUSDT,0.4344483446221992,0.02548213444378592,0.4662537832589792,ETCUSDT
DOGEUSDT,0.0020284893086507864,0.029183157335711432,0.4909188872368259,ETCUSDT
ALGOUSDT,0.6478906335491734,0.030334057473347956,0.4907259734119604,ETCUSDT
BANDUSDT,0.4350890609503396,0.03169609432518757,0.4981759891954557,ETCUSDT
ACHUSDT,0.47333807694037316,0.03191990079790414,0.4938259956580884,ETCUSDT
XLMUSDT,0.0010385995138459223,0.032057933284594914,0.49860213655229024,ETCUSDT
PERPUSDT,0.42200821580962916,0.032181587478554464,0.49974352006390355,ETCUSDT
SANDUSDT,0.4272289464146455,0.00527397430092977,0.8911118045694785,DASHUSDT
ADAUSDT,-1.7640326099509396e-05,0.0025440224938397815,0.006518040335162438,ALGOUSDT
XRPUSDT,0.001548382256662942,0.0040410035018886405,0.018162512385043808,ALGOUSDT
CHRUSDT,0.461741099081852,0.008107706986615473,0.023426625424288326,ALGOUSDT
CELOUSDT,0.5147453166280335,0.016146721816983758,0.04120597126984665,ALGOUSDT
ETCUSDT,0.5901120213519657,0.03254187367599857,0.49795421602692325,ALGOUSDT
CHRUSDT,0.5023033976551284,0.0009982917665688964,0.01890755501073155,SANDUSDT
XRPUSDT,0.0014064586013200764,0.00765732119301014,0.019756531107159296,SANDUSDT
CELOUSDT,0.5629042551810047,0.008362973155698094,0.036152862042231566,SANDUSDT
EOSUSDT,0.565991176599962,0.00866169191010492,0.009251807436034779,SANDUSDT
ETCUSDT,0.6478906335491733,0.030334057473347956,0.4907259734119604,SANDUSDT
APTUSDT,0.4075323013599897,0.004011856655368509,1.6013990411441517,ARUSDT
DASHUSDT,0.4272289464146455,0.00527397430092977,0.8911118045694785,ARUSDT
AVAXUSDT,-0.00021878336330356002,0.02197085944035023,1.1162604587135734,ARUSDT
MASKUSDT,0.3678181204915279,0.03344557002597755,1.3101152965882048,ARUSDT
DOTUSDT,0.0008600732950609217,0.049401785821293516,1.2699918259653873,ARUSDT
DOTUSDT,0.0003601612569330757,0.006109804957564148,0.1011633861123771,CELOUSDT
ETCUSDT,0.4610171478104104,0.020170313716062822,0.47112191826113764,CELOUSDT
ARUSDT,0.3678181204915279,0.03344557002597755,1.3101152965882048,CELOUSDT
SANDUSDT,0.5629042551810047,0.008362973155698094,0.036152862042231566,BANDUSDT
ACHUSDT,0.4349606836845791,0.012234357848864537,0.0373477876403064,BANDUSDT
ADAUSDT,0.0005852390702498528,0.014405335698547355,0.03610568318042813,BANDUSDT
PERPUSDT,0.37404134041623055,0.016028358556077798,0.043888697594305665,BANDUSDT
ALGOUSDT,0.5147453166280335,0.016146721816983758,0.04120597126984665,BANDUSDT
XLMUSDT,-0.00045363771738278177,0.017422037337169117,0.04334032698709903,BANDUSDT
CHRUSDT,0.42365263738147024,0.018055952881728884,0.030154838227663402,BANDUSDT
EOSUSDT,0.45746135176024044,0.018463447859096288,0.0337484879431814,BANDUSDT
TRXUSDT,0.0007149982801544299,0.020275681976856,0.04547866678934157,BANDUSDT
VIDTUSDT,0.1469625206512735,0.02355840603507815,0.04448124672167272,BANDUSDT
CHRUSDT,0.3731660228897698,0.001365754313718759,0.022989675461640907,ALPHAUSDT
BANDUSDT,0.4017540057308942,0.01592705385619842,0.04362063187829758,ALPHAUSDT
XRPUSDT,0.0010153488045318339,0.026541505915576614,0.025684841686155573,ALPHAUSDT
ETCUSDT,0.4350890609503396,0.03169609432518757,0.4981759891954557,ALPHAUSDT
ETCUSDT,0.4344483446221992,0.02548213444378592,0.4662537832589792,PERPUSDT
XRPUSDT,0.001505528885725302,0.0035428215911834145,0.020391424723694707,ACHUSDT
ADAUSDT,0.0014187207760663894,0.004855875905380514,0.009158707065251848,ACHUSDT
CHRUSDT,0.3524644077339448,0.00612148234282667,0.025173405994310147,ACHUSDT
BANDUSDT,0.37404134041623055,0.016028358556077798,0.043888697594305665,ACHUSDT
ETCUSDT,0.42200821580962916,0.032181587478554464,0.49974352006390355,ACHUSDT
ADAUSDT,0.00024977979010358244,0.004969569179422173,0.00544228570432646,CHRUSDT
XRPUSDT,0.0012205127753429983,0.007182621678768047,0.016916097768382002,CHRUSDT
BANDUSDT,0.4349606836845791,0.012234357848864537,0.0373477876403064,CHRUSDT
EOSUSDT,0.4311992606933196,0.016683943378649993,0.007275374761275519,CHRUSDT
ETCUSDT,0.4733380769403731,0.03191990079790414,0.4938259956580884,CHRUSDT
SANDUSDT,0.5023033976551283,0.0009982917665688964,0.01890755501073155,BELUSDT
ALPHAUSDT,0.3731660228897698,0.001365754313718759,0.022989675461640907,BELUSDT
CHRUSDT,0.39532312812370607,0.005163172605821413,0.020323691796417104,BELUSDT
XLMUSDT,-0.0004951851857980825,0.005287468292113382,0.02417249006201442,BELUSDT
ACHUSDT,0.3524644077339448,0.00612148234282667,0.025173405994310147,BELUSDT
TRXUSDT,-0.0003745328979136139,0.00715612450925309,0.025916358960628282,BELUSDT
ALGOUSDT,0.461741099081852,0.008107706986615473,0.023426625424288326,BELUSDT
ADAUSDT,-0.0009160299781162217,0.009569046064254499,0.019621923481376667,BELUSDT
BANDUSDT,0.42365263738147024,0.018055952881728884,0.030154838227663402,BELUSDT
VIDTUSDT,0.13137218337719941,0.02008129383559973,0.026986935255903316,BELUSDT
